Step,Method,Endpoint Path,Full URL,Auth Required,Request Body Fields,Description,Response (Success),Email Triggered
1,POST,/register,http://localhost:8000/api/v1/register,❌ No,"name (string, required), email (string, required), password (string, min 8 chars + uppercase + lowercase + digit + special), role (enum: mentor/student/admin, default: student)",Register new user. OTP sent to email.,200 — { message: OTP sent },✅ OTP Email
2,POST,/verify-otp,http://localhost:8000/api/v1/verify-otp,❌ No,"email (string, required), otp (string, exactly 4 digits)",Verify OTP from email. User created in DB. Returns JWT tokens.,200 — { accessToken, refreshToken, userObj },❌ No
3,POST,/login,http://localhost:8000/api/v1/login,❌ No,"email (string, required), password (string, required)",Login with credentials. Returns JWT tokens.,200 — { accessToken, refreshToken, userObj },❌ No
4,GET,/skills,http://localhost:8000/api/v1/skills,❌ No,— (no body),Get all available skill categories. Public API.,200 — { data: [ { _id, name, slug, description, mentorCount, source } ] },❌ No
5A,POST,/mentor/select-skill,http://localhost:8000/api/v1/mentor/select-skill,✅ Bearer Token,"skillId (ObjectId from GET /skills) OR skillName (string, creates if new)",Select a skill for assessment. AI generates 10 MCQs. Creates attempt record.,200 — { skill, attempt: { _id: attemptId }, questions: { durationMinutes, questions[] } },❌ No
5B,POST,/mentor/select-skill,http://localhost:8000/api/v1/mentor/select-skill,✅ Bearer Token,"skillName (string — e.g. ""React Native"")",Same endpoint. Pass skillName instead of skillId to auto-create skill dynamically.,200 — same as 5A,❌ No
6,POST,/activity-sessions/start,http://localhost:8000/api/v1/activity-sessions/start,✅ Bearer Token,"category (string: skill name/slug/ObjectId, required), screen: { innerWidth, innerHeight, isFullscreen } (optional)",Start proctoring session. Records browser state.,201 — { _id: sessionId, activityDecision: clean, events[] },❌ No
7,POST,/activity-sessions/:sessionId/events,http://localhost:8000/api/v1/activity-sessions/{sessionId}/events,✅ Bearer Token,"eventType (string: TAB_SWITCHED / FULLSCREEN_EXITED / WINDOW_BLUR / SCREEN_RESIZED / PAGE_REFRESH / PAGE_CLOSE etc.), message (string, optional)",Record a proctoring violation event. 3+ critical → auto-submit + fail.,200 — { warningCount, criticalCount, activityDecision, totalEvents },⚠️ Only if auto-submit triggered (3+ criticals)
8,POST,/mentor/submit-assessment,http://localhost:8000/api/v1/mentor/submit-assessment,✅ Bearer Token,"attemptId (ObjectId, from Step 5), sessionId (ObjectId, from Step 6), answers: [ { questionId (string), selectedAnswer (string) } ]",Submit answers. Grading + proctoring check. MentorProfile updated. Email queued.,200 — { attemptStatus: passed/failed, evaluation: { score, isPassed, isClean, activityDecision } },✅ Result Email (Pass or Fail)
9,POST,/logout,http://localhost:8000/api/v1/logout,✅ Bearer Token,— (no body),Blacklist tokens in Redis. Old tokens become invalid.,200 — { message: Logged out },❌ No
—,POST,/forgot-password,http://localhost:8000/api/v1/forgot-password,❌ No,"email (string, required)",Send password reset OTP to email.,200 — { message: Password reset OTP sent },✅ Reset OTP Email
—,POST,/reset-password,http://localhost:8000/api/v1/reset-password,❌ No,"email (string, required), otp (string, 4 digits), password (string, strong password)",Verify reset OTP + update password.,200 — { message: Password updated },❌ No
—,POST,/activity-sessions/:sessionId/submit,http://localhost:8000/api/v1/activity-sessions/{sessionId}/submit,✅ Bearer Token,"message (string, optional)",Manually end/close proctoring session.,200 — session object with endedAt,❌ No
—,GET,/activity-sessions/:sessionId,http://localhost:8000/api/v1/activity-sessions/{sessionId},✅ Bearer Token,— (no body),Get details of a specific proctoring session.,200 — full session object with all events,❌ No
—,GET,/activity-sessions/user,http://localhost:8000/api/v1/activity-sessions/user,✅ Bearer Token,"— (query: ?category=Mern Stack, optional)",Get all proctoring sessions for logged-in user.,200 — array of sessions,❌ No
—,GET,/activity-sessions/:sessionId/report,http://localhost:8000/api/v1/activity-sessions/{sessionId}/report,✅ Bearer Token,— (no body),Proctoring analysis report — event breakdown + flags + decision.,200 — detailed analytics object,❌ No
—,GET,/health,http://localhost:8000/health,❌ No,— (no body),Server health check.,200 — { status: success, message, timestamp },❌ No
